family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Gemma,gemma4_e4b,gemma4_31b,code,coupling_excess,175,0.001704460233415539,-0.0030970025031715927,0.006744425643364022
Gemma,gemma4_e4b,gemma4_31b,gpqa,dialectical_amount,500,0.10949888055590623,0.09651705258246847,0.12372532250804454
Gemma,gemma4_e4b,gemma4_31b,gpqa,control_amount,500,-0.0253229907358464,-0.0355634770746818,-0.014334174721740743
Gemma,gemma4_e4b,gemma4_31b,gpqa,dialectical_centroid,497,-0.009655472724361945,-0.020957037296048735,0.002440354113965072
Gemma,gemma4_e4b,gemma4_31b,gpqa,control_centroid,499,0.0676115249267648,0.057408098344095215,0.07817396741441512
Gemma,gemma4_e4b,gemma4_31b,gpqa,coupling_excess,500,-0.0026305842515101526,-0.007556324294139272,0.0025564828920267998
Gemma,gemma4_e4b,gemma4_31b,planning,dialectical_amount,500,0.1014387213254431,0.08832616851611076,0.11326362555988295
Gemma,gemma4_e4b,gemma4_31b,planning,control_amount,500,0.005818737516117629,-0.004331770027116776,0.0165115379963898
Gemma,gemma4_e4b,gemma4_31b,planning,dialectical_centroid,499,-0.04224904648080826,-0.05510841811988171,-0.029120412305344248
Gemma,gemma4_e4b,gemma4_31b,planning,control_centroid,500,0.03969270185693945,0.030072616729624996,0.0502482340957919
Gemma,gemma4_e4b,gemma4_31b,planning,coupling_excess,500,-0.0049957887017667915,-0.010140300782548498,0.00033054476505787247
Gemma,gemma4_e4b,gemma4_31b,moral,dialectical_amount,500,0.27894867286556213,0.26017367985616,0.2981428222767346
Gemma,gemma4_e4b,gemma4_31b,moral,control_amount,500,-0.22016409388295963,-0.2382866661994557,-0.20103047733536986
Gemma,gemma4_e4b,gemma4_31b,moral,dialectical_centroid,391,-0.1083450639923685,-0.12823221751886207,-0.08910806906575426
Gemma,gemma4_e4b,gemma4_31b,moral,control_centroid,496,0.16094576425522375,0.14708864226246046,0.17679518360595434
Gemma,gemma4_e4b,gemma4_31b,moral,coupling_excess,500,0.03243790777935946,0.0264479722501435,0.038935870501629194
Gemma,gemma4_e4b,gemma4_31b,idea,dialectical_amount,500,0.13332314031504872,0.11835061138192333,0.14492827794268814
